time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0089,0.0000,-0.0000,0.9766,-1.0223,51.6326
0.5,,,,,0.0000,0.2656,0.0000,-0.0000,0.3433,-0.5493,51.5561
1.0,,,,,0.0000,0.3278,0.0000,-0.0000,-0.0381,-0.2166,51.6020
1.5,,,,,0.0000,0.2611,0.0000,-0.0000,0.1297,-0.2060,51.5561
2.0,,,,,0.2575,0.1956,0.0000,-0.0000,0.4196,-0.5646,51.4183
2.5,,,,,0.1641,-0.2211,0.0000,-0.0000,0.1144,-0.0153,51.5714
3.0,,,,,0.0119,-0.1533,0.0000,-0.0000,0.0687,0.0610,51.5867
3.5,0.0000,0.0000,0.0000,1.0000,-0.0040,-0.1067,0.0000,-0.0000,0.0381,0.0534,51.5561
4.0,0.0000,0.0000,0.0000,1.0000,-0.0006,-0.3144,0.0000,-0.0000,0.1678,0.1144,51.6020
4.5,0.0038,0.0000,-0.0621,0.9981,-0.0043,-0.0033,0.0000,-0.0000,0.0076,0.0076,51.5407
5.0,0.0038,0.0000,-0.0621,0.9981,0.0051,-0.0022,0.0000,-0.0000,0.0458,-0.0458,51.6173
5.5,0.0038,0.0000,-0.0621,0.9981,0.0096,-0.0211,0.0000,-0.0000,0.0076,0.0076,51.5407
6.0,0.0038,0.0000,-0.0621,0.9981,-0.0001,-0.0056,0.0000,-0.0000,0.0076,0.0076,51.5561
6.5,0.0038,0.0000,-0.0621,0.9981,0.0004,0.0000,0.0000,-0.0000,0.0076,0.0000,51.5867
7.0,0.0038,0.0000,-0.0621,0.9981,-0.0004,0.0033,0.0000,-0.0000,0.0000,0.0000,51.5714
7.5,0.0038,0.0000,-0.0621,0.9981,-0.0002,0.0033,0.0000,-0.0000,0.0000,0.0000,51.5561
8.0,0.0038,0.0000,-0.0621,0.9981,-0.0002,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5407
8.5,0.0038,0.0000,-0.0621,0.9981,-0.0001,0.0022,0.0000,-0.0000,0.0000,0.0000,51.6020
9.0,0.0038,0.0000,-0.0621,0.9981,-0.0001,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5407
9.5,0.0038,0.0000,-0.0621,0.9981,-0.0001,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
10.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5714
10.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.5254
11.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.5714
11.5,0.0038,0.0000,-0.0621,0.9981,0.0004,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5407
12.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.6020
12.5,0.0038,0.0000,-0.0621,0.9981,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0076,51.6020
13.0,0.0038,0.0000,-0.0621,0.9981,-0.0014,0.0022,0.0000,-0.0000,0.0000,-0.0076,51.5561
13.5,0.0038,0.0000,-0.0621,0.9981,-0.0014,0.0022,0.0000,-0.0000,0.0000,0.0000,51.6020
14.0,0.0038,0.0000,-0.0621,0.9981,-0.0004,0.0011,0.0000,-0.0000,0.0000,0.0076,51.5867
14.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.6020
15.0,0.0038,0.0000,-0.0621,0.9981,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.5714
15.5,0.0038,0.0000,-0.0621,0.9981,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
16.0,0.0038,0.0000,-0.0621,0.9981,0.0000,-0.0011,0.0000,-0.0000,0.0000,-0.0229,51.5561
16.5,0.0038,0.0000,-0.0621,0.9981,-0.0002,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6020
17.0,0.0038,0.0000,-0.0621,0.9981,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5867
17.5,0.0038,0.0000,-0.0621,0.9981,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.5561
18.0,0.0038,0.0000,-0.0621,0.9981,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
18.5,0.0038,0.0000,-0.0621,0.9981,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5867
19.0,0.0038,0.0000,-0.0621,0.9981,0.0006,0.0011,0.0000,-0.0000,0.0000,0.0000,51.6173
19.5,0.0038,0.0000,-0.0621,0.9981,0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
20.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5714
20.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5561
21.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.6020
21.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.6173
22.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.5561
22.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5561
23.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6173
23.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6173
24.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
24.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.5714
25.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.5867
25.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5867
26.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5714
26.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.6326
27.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5714
27.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.5561
28.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.6020
28.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.5714
29.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5561
29.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.5714
30.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.5561
30.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5714
31.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5561
31.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.5561
32.0,0.0038,0.0000,-0.0621,0.9981,-0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.6020
32.5,0.0038,0.0000,-0.0621,0.9981,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.5407
33.0,6.2319,0.6062,0.0670,0.9978,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.5714
33.5,6.2319,0.6062,0.0670,0.9978,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.5561
34.0,6.2319,0.6062,0.0670,0.9978,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
34.5,6.2319,0.6062,0.0670,0.9978,-0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.5561
35.0,6.2319,0.6062,0.0670,0.9978,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.5561
35.5,6.2319,0.6062,0.0670,0.9978,-0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.5561
36.0,6.2319,0.6062,0.0670,0.9978,-0.0000,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6020
