time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity,right_velocity,left_rad_s,right_rad_s,voltage
1777784103.674,,,,,0.0000,-0.1411,-0.0000,0.0000,-0.4794,-1.0546,49.6426
1777784104.675,,,,,-0.4871,0.0189,-0.0000,0.0000,-6.9988,-6.8070,49.7038
1777784105.675,,,,,-0.4908,-0.3500,-0.0000,0.0000,-3.8829,-5.4429,49.7038
1777784106.674,-0.0781,-0.0067,0.0611,0.9981,-0.0753,0.2222,-0.0000,0.0000,-1.0067,0.0959,49.7344
1777784107.674,-0.1100,-0.0129,0.1266,0.9920,0.0105,0.0033,-0.0000,0.0000,0.0000,-0.0000,49.6579
1777784108.674,-0.1011,-0.0096,0.1765,0.9843,-0.0089,-0.0400,-0.0000,0.0000,0.0479,-0.0479,49.7191
1777784109.674,-0.1011,-0.0096,0.1765,0.9843,0.0012,-0.0033,-0.0000,0.0000,0.0959,-0.0000,49.6885
1777784110.674,-0.1011,-0.0096,0.1765,0.9843,-0.0073,0.0122,-0.0000,0.0000,-0.3835,-0.2397,49.7038
1777784111.674,-0.1011,-0.0096,0.1765,0.9843,-0.0686,0.0244,-0.0000,0.0000,-0.3356,-0.2397,49.6579
1777784112.674,-0.1011,-0.0096,0.1765,0.9843,-0.0033,0.0022,-0.0000,0.0000,-0.0479,-0.0479,49.6885
1777784113.674,-0.1011,-0.0096,0.1765,0.9843,0.0057,-0.0300,-0.0000,0.0000,0.2397,0.0959,49.7191
1777784114.674,-0.1011,-0.0096,0.1765,0.9843,0.0001,-0.0044,-0.0000,0.0000,0.0000,-0.0000,49.7038
1777784115.674,-0.1011,-0.0096,0.1765,0.9843,0.0007,0.0011,-0.0000,0.0000,0.0000,-0.0000,49.7344
1777784116.675,-0.1011,-0.0096,0.1765,0.9843,0.0007,-0.0011,-0.0000,0.0000,0.0000,-0.0000,49.7498
1777784117.676,-0.1011,-0.0096,0.1765,0.9843,0.0004,-0.0022,-0.0000,0.0000,0.0000,-0.0000,49.7038
1777784118.675,-0.1011,-0.0096,0.1765,0.9843,-0.0006,0.0000,-0.0000,0.0000,0.0000,0.0959,49.6426
