time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,51.6785
0.5,,,,,0.0000,-0.0100,0.0000,-0.0000,0.0000,0.0076,51.6938
1.0,,,,,0.0000,0.1011,0.0000,-0.0000,-0.0381,-0.0381,51.6479
1.5,,,,,0.0000,0.0244,0.0000,-0.0000,0.0000,-0.0076,51.7244
2.0,,,,,0.0038,0.1200,0.0000,-0.0000,-0.0381,-0.0534,51.6632
2.5,,,,,0.0091,0.1356,0.0000,-0.0000,-0.0381,-0.0610,51.6785
3.0,,,,,0.0052,0.0622,0.0000,-0.0000,-0.0305,-0.0381,51.6632
3.5,0.0000,0.0000,0.0000,1.0000,0.0021,0.4278,0.0000,-0.0000,-0.2060,-0.0916,51.6785
4.0,0.0028,0.0000,0.0664,0.9978,-0.0214,0.3289,0.0000,-0.0000,-0.1373,-0.1068,51.6632
4.5,0.0119,0.0013,0.1200,0.9928,0.0068,0.0156,0.0000,-0.0000,0.0916,-0.0534,51.7091
5.0,0.0217,0.0035,0.1707,0.9853,0.1914,0.2700,0.0000,-0.0000,0.6180,-0.7858,51.6785
5.5,0.1422,0.0614,0.2230,0.9748,0.5257,0.0656,0.0000,-0.0000,1.0757,-1.1444,51.6632
6.0,0.2837,0.1344,0.2340,0.9722,0.6043,-0.0756,0.0000,-0.0000,1.1139,-1.0300,51.7397
6.5,0.6017,0.2943,0.2216,0.9751,0.5679,-0.0967,0.0000,-0.0000,1.0300,-0.9995,51.7397
7.0,0.8990,0.4310,0.1988,0.9800,0.5408,-0.1333,0.0000,-0.0000,0.8087,-0.8621,51.6632
7.5,1.0491,0.4903,0.1797,0.9837,0.3734,-1.0600,0.0000,-0.0000,0.8545,-0.1144,51.7091
8.0,1.3079,0.5258,-0.1055,0.9944,0.1484,-1.3778,0.0000,-0.0000,0.6943,0.3357,51.6326
8.5,1.3828,0.4693,-0.3646,0.9312,0.0821,-0.5278,0.0000,-0.0000,0.2441,0.0534,51.6785
9.0,1.4020,0.4531,-0.4401,0.8980,0.0117,0.0122,0.0000,-0.0000,-0.0229,-0.0076,51.6938
9.5,1.4020,0.4531,-0.4401,0.8980,0.0096,0.1267,0.0000,-0.0000,0.1221,-0.1831,51.7091
10.0,1.4020,0.4531,-0.4401,0.8980,0.2327,0.2511,0.0000,-0.0000,0.6714,-0.8621,51.6938
10.5,1.4880,0.3339,-0.4158,0.9095,0.5388,0.1522,0.0000,-0.0000,1.0071,-1.1292,51.6785
11.0,1.6936,0.0708,-0.3910,0.9204,0.5752,-0.1211,0.0000,-0.0000,1.0834,-0.9995,51.7397
11.5,1.8680,-0.1632,-0.4190,0.9080,0.5505,-0.3356,0.0000,-0.0000,0.9995,-0.7858,51.6785
12.0,2.0330,-0.4912,-0.5020,0.8649,0.5196,-0.2144,0.0000,-0.0000,1.0529,-0.8926,51.7397
12.5,2.1018,-0.6166,-0.5309,0.8475,0.5021,-0.1622,0.0000,-0.0000,0.9995,-0.9003,51.4948
13.0,2.2169,-0.8913,-0.5668,0.8239,0.5261,-0.1100,0.0000,-0.0000,0.9613,-0.8698,51.4336
13.5,2.3479,-1.1638,-0.5724,0.8200,0.5169,0.0433,0.0000,-0.0000,0.9766,-1.0071,51.6785
14.0,2.4101,-1.2942,-0.5620,0.8271,0.5189,0.1478,0.0000,-0.0000,0.9155,-1.0376,51.6785
14.5,2.6148,-1.5306,-0.4948,0.8690,0.5437,0.0822,0.0000,-0.0000,0.9689,-1.0376,51.6785
15.0,2.8457,-1.7734,-0.4524,0.8918,0.5423,-0.0144,0.0000,-0.0000,0.9842,-0.9918,51.6785
15.5,2.9428,-1.9209,-0.4474,0.8943,0.5431,-0.0722,0.0000,-0.0000,1.0223,-0.9918,51.5101
16.0,3.1854,-2.1356,-0.4501,0.8930,0.5403,-0.0711,0.0000,-0.0000,1.0452,-0.9995,51.6785
16.5,3.4098,-2.3658,-0.4483,0.8939,0.5411,-0.0422,0.0000,-0.0000,0.9918,-0.9842,51.4948
17.0,3.4899,-2.5214,-0.4500,0.8930,0.5459,-0.0156,0.0000,-0.0000,1.0300,-1.0147,51.6632
17.5,3.7690,-2.6758,-0.4350,0.9004,0.5396,-0.0200,0.0000,-0.0000,0.9766,-0.9995,51.7244
18.0,4.0002,-2.9748,-0.4233,0.9060,0.5026,-0.1022,0.0000,-0.0000,0.7858,-0.7324,51.7397
18.5,4.3769,-2.6198,-0.4355,0.9002,0.1929,-0.0022,0.0000,-0.0000,0.0000,0.0229,51.6938
19.0,4.6051,-2.4689,-0.4465,0.8948,-0.0241,0.0000,0.0000,-0.0000,-0.0076,0.0076,51.6938
19.5,4.6051,-2.4689,-0.4465,0.8948,-0.0072,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.6632
20.0,4.6051,-2.4689,-0.4465,0.8948,-0.0053,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7091
20.5,4.6051,-2.4689,-0.4465,0.8948,-0.0037,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6632
21.0,4.6051,-2.4689,-0.4465,0.8948,-0.0027,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7397
21.5,4.6051,-2.4689,-0.4465,0.8948,-0.0020,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7244
22.0,4.6051,-2.4689,-0.4465,0.8948,-0.0014,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.7244
22.5,4.6051,-2.4689,-0.4465,0.8948,-0.0010,0.0000,0.0000,-0.0000,0.0000,0.0000,51.6938
23.0,4.6051,-2.4689,-0.4465,0.8948,-0.0008,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6938
23.5,4.6051,-2.4689,-0.4465,0.8948,-0.0006,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.7397
24.0,4.6051,-2.4689,-0.4465,0.8948,-0.0004,-0.0033,0.0000,-0.0000,0.0000,0.0000,51.6632
24.5,4.6051,-2.4689,-0.4465,0.8948,-0.0003,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.7397
25.0,4.6051,-2.4689,-0.4465,0.8948,-0.0002,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.6785
25.5,4.6051,-2.4689,-0.4465,0.8948,-0.0002,-0.0000,0.0000,-0.0000,0.0000,0.0000,51.7091
26.0,4.6051,-2.4689,-0.4465,0.8948,-0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,51.6785
26.5,4.6051,-2.4689,-0.4465,0.8948,-0.0001,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7244
