time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.1733,0.0000,-0.0000,0.0534,-0.1831,51.6785
0.5,,,,,0.0000,0.0467,0.0000,-0.0000,0.0839,-0.1221,51.6785
1.0,,,,,0.0000,0.1711,0.0000,-0.0000,0.0458,-0.1831,51.6632
1.5,,,,,0.0293,0.0733,0.0000,-0.0000,0.1678,-0.0916,51.6479
2.0,,,,,0.1946,0.0933,0.0000,-0.0000,0.6104,-0.6866,51.6785
2.5,,,,,0.4900,-0.0700,0.0000,-0.0000,1.0529,-1.0529,51.6632
3.0,,,,,0.5892,-0.1356,0.0000,-0.0000,1.0910,-1.0147,51.6020
3.5,0.3582,-0.0171,-0.0755,0.9971,0.4820,-0.9367,0.0000,-0.0000,0.9995,-0.3433,51.6938
4.0,0.5595,-0.0880,-0.3318,0.9434,0.2764,-1.1533,0.0000,-0.0000,0.8316,-0.0381,51.7244
4.5,0.6266,-0.1600,-0.4911,0.8711,0.3175,-0.4278,0.0000,-0.0000,0.9766,-0.6943,51.6479
5.0,0.7094,-0.3592,-0.5597,0.8287,0.5374,0.1044,0.0000,-0.0000,1.0071,-1.1139,51.6785
5.5,0.7762,-0.5076,-0.5396,0.8419,0.5532,-0.0289,0.0000,-0.0000,0.9613,-0.9460,51.7244
6.0,0.9246,-0.8131,-0.5403,0.8415,0.5396,-0.0344,0.0000,-0.0000,0.9842,-0.9995,51.6479
6.5,1.0570,-1.0892,-0.5792,0.8152,0.4659,-0.5200,0.0000,-0.0000,0.9766,-0.6104,51.4795
7.0,1.0935,-1.2198,-0.6386,0.7696,0.4889,-0.1533,0.0000,-0.0000,1.0452,-0.9232,51.7244
7.5,1.1319,-1.5057,-0.6739,0.7389,0.5308,0.3100,0.0000,-0.0000,0.8163,-1.0300,51.6479
8.0,1.1680,-1.7615,-0.6272,0.7788,0.5160,0.2344,0.0000,-0.0000,0.8621,-1.0757,51.6479
8.5,1.2554,-2.0499,-0.5846,0.8113,0.5493,0.0178,0.0000,-0.0000,0.9995,-1.0223,51.6785
9.0,1.3178,-2.1996,-0.5817,0.8134,0.5410,-0.0467,0.0000,-0.0000,0.9537,-0.9308,51.6479
9.5,1.4362,-2.4853,-0.5891,0.8081,0.5412,-0.0622,0.0000,-0.0000,0.9918,-0.9689,51.6632
10.0,1.5280,-2.7965,-0.6021,0.7984,0.5420,-0.0378,0.0000,-0.0000,1.0223,-1.0071,51.6785
10.5,1.5715,-3.0665,-0.6120,0.7909,0.5465,0.0044,0.0000,-0.0000,1.0223,-0.9995,51.6632
11.0,1.6244,-3.2170,-0.6126,0.7904,0.5317,-0.0233,0.0000,-0.0000,0.8774,-0.9003,51.6020
11.5,1.7065,-3.5020,-0.6261,0.7798,0.4735,-0.0900,0.0000,-0.0000,0.9766,-0.8774,51.6479
12.0,2.0099,-3.6524,-0.6002,0.7999,0.5343,-0.0656,0.0000,-0.0000,0.9995,-0.9766,51.6785
12.5,2.3062,-3.7327,-0.5647,0.8253,0.5365,0.0022,0.0000,-0.0000,0.9995,-1.0071,51.6938
13.0,2.5987,-3.9546,-0.5404,0.8414,0.5343,0.0222,0.0000,-0.0000,0.9689,-0.9842,51.7857
13.5,2.6488,-4.0505,-0.5377,0.8431,0.4187,0.3411,0.0000,-0.0000,0.4044,-0.6943,51.7244
14.0,2.8122,-4.3087,-0.4116,0.9114,0.1658,0.4133,0.0000,-0.0000,-0.0687,-0.2441,51.6020
14.5,2.8122,-4.3087,-0.4116,0.9114,-0.0018,-0.3511,0.0000,-0.0000,0.1450,0.1450,51.6938
15.0,2.8122,-4.3087,-0.4116,0.9114,-0.0101,-0.1533,0.0000,-0.0000,0.0534,0.0610,51.6785
15.5,2.8711,-4.3306,-0.4671,0.8842,-0.0115,-0.3044,0.0000,-0.0000,0.0992,0.1144,51.6479
16.0,2.8751,-4.3318,-0.5159,0.8566,0.0013,-0.0722,0.0000,-0.0000,0.0458,0.0229,51.6479
16.5,2.8751,-4.3318,-0.5159,0.8566,-0.0001,-0.0078,0.0000,-0.0000,0.0000,0.0000,51.6785
17.0,2.8751,-4.3318,-0.5159,0.8566,-0.0020,0.0033,0.0000,-0.0000,0.0000,0.0000,51.6326
