time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.0122,0.0000,-0.0000,-0.0229,-0.0305,51.6632
0.5,,,,,0.0000,0.2222,0.0000,-0.0000,-0.0839,-0.0839,51.6785
1.0,,,,,0.0000,0.0567,0.0000,-0.0000,-0.0153,-0.0381,51.6785
1.5,,,,,0.0000,-0.0844,0.0000,-0.0000,0.0534,0.0534,51.6938
2.0,,,,,0.0000,-0.0633,0.0000,-0.0000,-0.0610,0.0839,51.6785
2.5,,,,,-0.0012,0.3667,0.0000,-0.0000,-0.1373,-0.1144,51.6632
3.0,,,,,-0.0071,-0.0267,0.0000,-0.0000,0.0000,0.0229,51.6938
3.5,0.0000,0.0000,0.0000,1.0000,-0.0125,0.6044,0.0000,-0.0000,-0.2975,-0.1526,51.6632
4.0,0.0159,0.0022,0.2277,0.9737,-0.0544,0.9211,0.0000,-0.0000,-0.3510,-0.2060,51.6785
4.5,0.0082,-0.0042,0.3126,0.9499,-0.0150,0.1022,0.0000,-0.0000,0.1068,-0.2060,51.6785
5.0,-0.0278,-0.0157,0.3613,0.9325,0.2019,0.2922,0.0000,-0.0000,0.5798,-0.8163,51.6632
5.5,0.0508,0.1150,0.4501,0.8930,0.4925,0.0822,0.0000,-0.0000,1.0300,-1.1063,51.6632
6.0,0.2105,0.3512,0.4623,0.8867,0.5901,-0.1167,0.0000,-0.0000,1.0757,-0.9995,51.7091
6.5,0.3256,0.5489,0.4605,0.8877,0.5709,-0.1144,0.0000,-0.0000,1.0452,-1.0071,51.6632
7.0,0.4884,0.8266,0.4485,0.8938,0.5540,-0.0800,0.0000,-0.0000,1.0223,-0.9842,51.6785
7.5,0.5785,0.9632,0.4432,0.8964,0.5474,-0.0867,0.0000,-0.0000,0.9842,-0.8663,51.6785
8.0,0.7466,1.2434,0.4118,0.9113,0.4403,-0.7244,0.0000,-0.0000,0.9842,-0.4883,51.7551
8.5,0.9107,1.4231,0.2198,0.9755,0.3871,-0.9311,0.0000,-0.0000,0.9689,-0.3281,51.6785
9.0,1.0690,1.5025,0.0031,1.0000,0.3468,-1.2200,0.0000,-0.0000,0.9689,-0.0839,51.8469
9.5,1.1999,1.5061,-0.2635,0.9646,0.3080,-0.9333,0.0000,-0.0000,0.8926,-0.5035,51.5254
10.0,1.2558,1.4599,-0.3459,0.9383,0.4789,-0.9093,0.0000,-0.0000,0.8774,-1.0834,51.7091
10.5,1.5021,1.2567,-0.3385,0.9410,0.5420,-0.7774,0.0000,-0.0000,0.8087,-1.1597,51.6938
11.0,1.7413,1.1624,-0.2168,0.9762,0.5455,-0.6028,0.0000,-0.0000,0.9232,-1.0452,51.6326
11.5,2.0194,1.1478,-0.1305,0.9914,0.5387,-0.4660,0.0000,-0.0000,0.9995,-1.0071,51.6632
12.0,2.2188,1.1546,-0.1154,0.9933,0.5455,-0.3737,0.0000,-0.0000,1.0223,-0.9537,51.5867
12.5,2.4957,1.0446,-0.1456,0.9893,0.5417,-0.3045,0.0000,-0.0000,1.0147,-0.9689,51.6785
13.0,2.6928,0.9252,-0.1708,0.9853,0.5425,-0.2424,0.0000,-0.0000,1.0071,-0.9842,51.6785
13.5,2.9741,0.6093,-0.2101,0.9777,0.5410,-0.1870,0.0000,-0.0000,0.9766,-0.9995,51.2346
14.0,3.1444,0.3747,-0.2259,0.9742,0.4920,-0.0914,0.0000,-0.0000,0.5569,-0.9689,51.6632
14.5,3.4163,0.1664,-0.1094,0.9940,0.4374,0.0580,0.0000,-0.0000,0.7629,-1.0605,51.6785
15.0,3.5453,0.1003,-0.0477,0.9989,0.5306,0.0935,0.0000,-0.0000,1.0529,-0.9918,51.6938
15.5,3.9300,0.0864,-0.0396,0.9992,0.5537,0.0427,0.0000,-0.0000,1.0529,-0.9689,51.6632
16.0,4.1277,0.0279,-0.0731,0.9973,0.5425,0.0027,0.0000,-0.0000,0.9918,-0.9308,51.6938
16.5,4.4232,-0.0818,-0.1047,0.9945,0.5372,-0.0102,0.0000,-0.0000,1.0071,-0.9766,51.5714
17.0,4.6142,-0.1338,-0.1028,0.9947,0.5308,-0.0132,0.0000,-0.0000,0.8011,-0.7858,51.7091
17.5,4.8468,-0.2233,-0.1184,0.9930,0.3077,-0.0579,0.0000,-0.0000,0.4349,-0.0458,51.6632
18.0,4.9296,-0.2484,-0.1766,0.9843,0.0342,-0.1153,0.0000,-0.0000,-0.0153,0.0076,51.6785
18.5,4.9783,-0.2288,-0.2199,0.9755,-0.0174,-0.0835,0.0000,-0.0000,0.0000,0.0000,51.6785
19.0,4.9783,-0.2288,-0.2199,0.9755,0.0282,-0.0750,0.0000,-0.0000,0.2594,-0.2670,51.6632
19.5,4.9783,-0.2288,-0.2199,0.9755,0.2280,-0.0665,0.0000,-0.0000,0.3281,-0.3204,51.6632
20.0,5.0874,-0.2307,-0.2251,0.9743,0.0759,-0.0443,0.0000,-0.0000,-0.0076,0.0076,51.6632
20.5,5.0874,-0.2307,-0.2251,0.9743,0.0431,-0.0360,0.0000,-0.0000,0.2670,-0.3357,51.6020
21.0,5.1778,-0.2738,-0.2052,0.9787,0.3357,0.0130,0.0000,-0.0000,0.6638,-0.8392,51.6632
21.5,5.3072,-0.2838,-0.1460,0.9893,0.2851,0.0535,0.0000,-0.0000,0.0458,-0.0610,51.6785
22.0,5.3978,-0.2956,-0.1211,0.9926,-0.1251,0.0367,0.0000,-0.0000,-0.6104,0.6409,51.6785
22.5,5.3978,-0.2956,-0.1211,0.9926,-0.2961,0.0279,0.0000,-0.0000,-0.4807,0.1144,51.6632
23.0,5.2588,-0.2214,-0.0511,0.9987,-0.1096,0.1131,0.0000,-0.0000,-0.0229,0.0381,51.6326
23.5,5.2588,-0.2214,-0.0511,0.9987,0.0002,-0.0038,0.0000,-0.0000,0.2060,0.2670,51.6785
24.0,5.2496,-0.1268,-0.1307,0.9914,-0.0138,-0.0750,0.0000,-0.0000,-0.0229,-0.0381,51.6632
24.5,5.2496,-0.1268,-0.1307,0.9914,0.0062,-0.0522,0.0000,-0.0000,0.0839,-0.1068,51.6785
25.0,5.2496,-0.1268,-0.1307,0.9914,0.1738,-0.0500,0.0000,-0.0000,0.6561,-0.5798,51.6785
25.5,5.3364,-0.1916,-0.1819,0.9833,0.2824,-0.0478,0.0000,-0.0000,0.1831,-0.3738,51.6938
26.0,5.4639,-0.1788,-0.1339,0.9910,0.0768,0.0019,0.0000,-0.0000,0.0000,-0.0305,51.6326
26.5,5.4639,-0.1788,-0.1339,0.9910,-0.0007,0.0062,0.0000,-0.0000,0.0000,0.0000,51.6938
27.0,5.4639,-0.1788,-0.1339,0.9910,-0.0016,0.0054,0.0000,-0.0000,0.0000,0.0076,51.6326
27.5,5.4639,-0.1788,-0.1339,0.9910,-0.0021,0.0038,0.0000,-0.0000,0.0000,0.0000,51.6785
28.0,5.4639,-0.1788,-0.1339,0.9910,-0.0013,0.0029,0.0000,-0.0000,0.0000,0.0000,51.6632
28.5,5.4639,-0.1788,-0.1339,0.9910,-0.0009,0.0022,0.0000,-0.0000,0.0000,0.0000,51.6785
29.0,5.4639,-0.1788,-0.1339,0.9910,-0.0007,0.0016,0.0000,-0.0000,0.0000,0.0000,51.6785
29.5,5.4639,-0.1788,-0.1339,0.9910,-0.0005,0.0012,0.0000,-0.0000,0.0000,0.0000,51.6479
30.0,5.4639,-0.1788,-0.1339,0.9910,-0.0004,0.0009,0.0000,-0.0000,0.0000,0.0000,51.6632
30.5,5.4639,-0.1788,-0.1339,0.9910,-0.0003,0.0007,0.0000,-0.0000,0.0000,0.0000,51.6632
31.0,5.4639,-0.1788,-0.1339,0.9910,-0.0002,0.0005,0.0000,-0.0000,0.0000,0.0000,51.6479
31.5,5.4639,-0.1788,-0.1339,0.9910,-0.0001,0.0004,0.0000,-0.0000,0.0000,0.0000,51.6632
32.0,5.4639,-0.1788,-0.1339,0.9910,-0.0001,0.0003,0.0000,-0.0000,0.0000,0.0000,51.6785
32.5,5.4639,-0.1788,-0.1339,0.9910,0.0012,0.0017,0.0000,-0.0000,0.0000,0.0000,51.6632
33.0,5.4639,-0.1788,-0.1339,0.9910,-0.0001,0.0013,0.0000,-0.0000,0.0000,0.0000,51.6938
33.5,5.4639,-0.1788,-0.1339,0.9910,-0.0000,0.0010,0.0000,-0.0000,0.0000,0.0000,51.6632
34.0,5.6013,0.5658,0.0795,0.9968,0.0002,0.0010,0.0000,-0.0000,0.0000,0.0000,51.6632
34.5,5.6013,0.5658,0.0795,0.9968,-0.0000,0.0007,0.0000,-0.0000,0.0000,0.0000,51.6632
35.0,5.6013,0.5658,0.0795,0.9968,-0.0000,0.0005,0.0000,-0.0000,0.0000,0.0000,51.6785
35.5,5.6013,0.5658,0.0795,0.9968,-0.0003,0.0001,0.0000,-0.0000,0.0000,-0.0076,51.6632
