time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.7857
0.5,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7704
1.0,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7704
1.5,,,,,-0.0000,-0.0033,0.0000,-0.0000,0.0000,0.0000,51.7551
2.0,,,,,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.8316
2.5,,,,,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7704
3.0,,,,,0.0000,-0.0011,0.0000,-0.0000,0.0000,0.0000,51.8010
3.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
4.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0022,0.0000,-0.0000,0.0000,0.0000,51.7397
4.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
5.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7704
5.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7857
6.0,0.0000,0.0000,0.0000,1.0000,0.0000,-0.0022,0.0000,-0.0000,0.0000,0.0000,51.7551
6.5,0.0000,0.0000,0.0000,1.0000,0.0000,0.0011,0.0000,-0.0000,0.0000,0.0000,51.7857
7.0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000,51.7704
7.5,0.0000,0.0000,0.0000,1.0000,0.0005,0.3578,0.0000,-0.0000,-0.0839,-0.0992,51.7857
8.0,0.0003,0.0000,0.0606,0.9982,0.0052,0.2500,0.0000,-0.0000,-0.0839,-0.0916,51.7704
8.5,0.0048,0.0007,0.1135,0.9935,0.0000,0.1556,0.0000,-0.0000,-0.0534,-0.0610,51.7704
9.0,0.0057,0.0009,0.1640,0.9865,0.0022,0.0278,0.0000,-0.0000,-0.0229,-0.0153,51.8010
9.5,0.0057,0.0009,0.1640,0.9865,-0.0001,0.0511,0.0000,-0.0000,-0.0153,-0.0229,51.7857
10.0,0.0084,0.0017,0.2186,0.9758,0.0010,0.4622,0.0000,-0.0000,-0.1602,-0.1526,51.8010
10.5,0.0115,0.0035,0.3429,0.9394,-0.0154,0.5578,0.0000,-0.0000,-0.1831,-0.1755,51.8163
11.0,0.0131,0.0095,0.4623,0.8867,-0.0109,-0.0144,0.0000,-0.0000,0.0000,0.0000,51.7857
11.5,0.0131,0.0095,0.4623,0.8867,-0.0071,0.2978,0.0000,-0.0000,-0.1221,-0.0839,51.7244
