time_s,amcl_x,amcl_y,amcl_qz,amcl_qw,filtered_vx,filtered_wz,left_velocity (rps),right_velocity (rps),left_rps,right_rps,voltage
0.0,,,,,0.0000,0.9733,0.0000,-0.0000,-0.4501,-0.4501,51.8163
0.5,,,,,0.0000,1.1622,0.0000,-0.0000,-0.4120,-0.4349,51.8469
1.0,,,,,0.0000,0.2700,0.0000,-0.0000,0.1678,-0.3815,51.8010
1.5,,,,,0.0000,0.3189,0.0000,-0.0000,0.5493,-0.7706,51.7857
2.0,,,,,0.4424,0.1644,0.0000,-0.0000,0.9842,-1.0757,51.8010
2.5,,,,,0.5190,-0.4533,0.0000,-0.0000,0.7324,-0.4196,51.8622
3.0,,,,,0.1718,-0.6656,0.0000,-0.0000,0.2365,0.2289,51.8010
3.5,,,,,-0.0052,0.0178,0.0000,-0.0000,0.1984,-0.0687,51.8622
4.0,,,,,0.1740,-0.1467,0.0000,-0.0000,0.7324,-0.6409,51.7551
4.5,,,,,0.4852,-0.0644,0.0000,-0.0000,1.0986,-1.0529,51.9234
5.0,,,,,0.5891,0.0333,0.0000,-0.0000,1.0147,-1.0529,51.7857
5.5,0.2334,-0.0008,0.0044,1.0000,0.5642,0.0378,0.0000,-0.0000,0.9842,-1.0300,51.8010
6.0,0.5673,0.0010,0.0114,0.9999,0.5503,0.0411,0.0000,-0.0000,0.9766,-1.0223,51.9234
6.5,0.7808,0.0001,0.0058,1.0000,0.5179,-0.3956,0.0000,-0.0000,0.8926,-0.5875,51.8622
7.0,1.0198,-0.0260,-0.1021,0.9948,0.2530,-0.4422,0.0000,-0.0000,0.6638,-0.2670,51.8469
7.5,1.0967,-0.0547,-0.1760,0.9844,0.3314,-0.2711,0.0000,-0.0000,0.9689,-0.8011,51.7857
8.0,1.3433,-0.1736,-0.2583,0.9661,0.5434,0.0733,0.0000,-0.0000,0.9155,-1.0452,51.8469
8.5,1.4869,-0.2363,-0.2332,0.9724,0.5205,0.3933,0.0000,-0.0000,0.7935,-1.0529,51.8469
9.0,1.7798,-0.3295,-0.1156,0.9933,0.4934,0.3433,0.0000,-0.0000,0.8469,-1.0529,51.8010
9.5,2.0790,-0.3576,-0.0407,0.9992,0.5329,-0.0411,0.0000,-0.0000,1.0147,-0.9918,51.8010
10.0,2.2266,-0.3670,-0.0411,0.9992,0.5481,-0.1400,0.0000,-0.0000,1.0452,-0.9384,51.7244
10.5,2.5488,-0.3538,-0.0570,0.9984,0.5425,-0.0956,0.0000,-0.0000,1.0300,-0.9460,51.8010
11.0,2.8535,-0.3761,-0.0687,0.9976,0.4583,0.1144,0.0000,-0.0000,0.4578,-0.5493,51.7857
