timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
17,0.0076,0.0000,0.0000,0.0000
66,0.0000,0.0000,0.0000,0.0000
116,0.0000,0.0000,0.0000,0.0000
166,0.0000,0.0000,0.0000,0.0000
216,0.0000,0.0000,0.0000,0.0000
316,0.0000,0.0000,0.0000,0.0000
366,0.0000,0.0000,0.0000,0.0000
417,0.0000,0.0000,0.0000,0.0000
466,0.0000,0.0000,0.0000,0.0000
516,0.0000,0.0000,0.0000,0.0000
616,0.0000,0.0000,0.0000,0.0000
666,0.0000,0.0000,0.0000,0.0000
717,0.0000,0.0000,0.0000,0.0000
817,0.0000,0.0000,0.0000,0.0000
917,-0.0076,0.0000,0.0000,0.0000
967,0.0229,0.0000,0.0000,0.0000
1016,0.0000,0.0000,0.0000,0.0000
1067,-0.0153,0.0000,0.0000,0.0000
1116,0.0229,0.0000,0.0000,0.0000
1167,-0.0076,0.0000,0.0000,0.0000
1217,0.0000,0.0000,0.0000,0.0000
1316,0.0000,0.0000,0.0000,0.0000
1417,0.0000,0.0000,0.0000,0.0000
1517,0.0000,0.0000,0.0000,0.0000
1567,0.0000,0.0000,0.0000,0.0000
1617,0.0000,0.0000,0.0000,0.0000
1666,0.0000,0.0000,0.0000,0.0000
1717,0.0000,0.0000,0.0000,0.0000
1817,0.0000,0.0000,0.0000,0.0000
1917,0.0000,0.0000,0.0000,0.0000
2016,0.0000,0.0000,0.0000,0.0000
2116,0.0000,0.0000,0.0000,0.0000
2216,0.0000,0.0000,0.0000,0.0000
2316,0.0000,0.0000,0.0000,0.0000
2365,0.0000,0.0000,0.0000,0.0000
2416,0.0000,0.0000,0.0000,0.0000
2517,0.0000,0.0000,0.0000,0.0000
2617,0.0000,0.0000,0.0000,0.0000
2717,0.0000,0.0000,0.0000,0.0000
2766,0.0000,0.0000,0.0000,0.0000
2817,0.0000,0.0000,0.0000,0.0000
2917,0.0000,0.0000,0.0000,0.0000
3016,0.0000,0.0000,0.0000,0.0000
3117,0.0000,0.0000,0.0000,0.0000
3216,0.0000,0.0000,0.0000,0.0000
3317,0.0000,0.0000,0.0000,0.0000
3417,0.0000,0.0000,0.0000,0.0000
3467,0.0000,0.0000,0.0000,0.0000
3516,0.0000,0.0000,0.0000,0.0000
3617,0.0000,0.0000,0.0000,0.0000
3716,0.0229,0.0000,0.0000,0.0000
3816,0.0000,0.0000,0.0000,0.0000
3916,0.0000,0.0000,0.0000,0.0000
4017,0.0000,0.0000,0.0000,0.0000
4117,0.0000,0.0000,0.0000,0.0000
4217,0.0000,0.0000,0.0000,0.0000
4267,0.0000,0.0000,0.0000,0.0000
4316,0.0000,0.0000,0.0000,0.0000
4416,-0.0153,0.0000,0.0000,0.0000
4466,0.0076,0.0000,0.0000,0.0000
4517,-0.0076,0.0000,0.0000,0.0000
4617,0.0000,0.0000,0.0000,0.0000
4717,0.0000,0.0000,0.0000,0.0000
4817,0.0000,0.0000,0.0000,0.0000
4917,0.0000,0.0000,0.0000,0.0000
5017,-0.0153,0.0000,0.0000,0.0000
5067,0.0000,0.0000,0.0000,0.0000
5117,0.0076,0.0000,0.0000,0.0000
5216,0.0000,0.0000,0.0000,0.0000
5267,0.0000,0.0000,0.0000,0.0000
5316,0.0000,0.0000,0.0000,0.0000
5416,0.0000,0.0000,0.0000,0.0000
5467,0.0000,0.0000,0.0000,0.0000
5516,0.0000,0.0000,0.0000,0.0000
5566,0.0000,0.0000,0.0000,0.0000
5617,0.0000,-0.0229,0.0000,0.0000
5717,0.0000,0.0000,0.0000,0.0000
5816,0.0000,-0.0153,0.0000,0.0000
5917,0.0000,0.0000,0.0000,0.0000
5967,0.0000,0.0000,0.0000,0.0000
6016,0.0000,0.0000,0.0000,0.0000
6067,0.0000,0.0000,0.0000,0.0000
6117,0.0000,0.0000,0.0000,0.0000
6216,0.0000,0.0000,0.0000,0.0000
6267,0.0000,0.0000,0.0000,0.0000
6316,0.0000,0.0000,0.0000,0.0000
6367,0.0000,0.0000,0.0000,0.0000
6417,0.0000,0.0000,0.0000,0.0000
6517,0.0000,0.0000,0.0000,0.0000
6617,0.0000,0.0000,0.0000,0.0000
6717,0.0000,0.0000,0.0000,0.0000
6816,0.0000,0.0000,0.0000,0.0000
6916,0.0000,0.0000,0.0000,0.0000
7017,0.0000,0.0000,0.0000,0.0000
7117,0.0000,0.0000,2.0000,2.0000
7217,0.0229,0.0153,2.0000,2.0000
7267,0.0687,0.0534,2.0000,2.0000
7317,0.1602,0.1144,2.0000,2.0000
7367,0.2136,0.1907,2.0000,2.0000
7416,0.2899,0.2594,2.0000,2.0000
7467,0.4120,0.3433,2.0000,2.0000
7516,0.5112,0.4578,2.0000,2.0000
7616,0.6256,0.6104,2.0000,2.0000
7717,0.8011,0.7706,2.0000,2.0000
7816,0.9613,0.9460,2.0000,2.0000
7916,1.0986,1.0681,2.0000,2.0000
8016,1.2665,1.2360,2.0000,2.0000
8066,1.3504,1.3123,2.0000,2.0000
8116,1.4267,1.3885,2.0000,2.0000
8167,1.5182,1.4648,2.0000,2.0000
8216,1.5793,1.5488,2.0000,2.0000
8316,1.7319,1.7014,2.0000,2.0000
8366,1.8311,1.7624,2.0000,2.0000
8416,1.8845,1.8311,2.0000,2.0000
8467,1.9531,1.9150,2.0000,2.0000
8516,1.9684,1.9226,2.0000,2.0000
8616,1.9608,1.9150,2.0000,2.0000
8667,1.9836,1.9379,2.0000,2.0000
8716,1.9913,1.9684,2.0000,2.0000
8816,1.9989,1.9379,2.0000,2.0000
8916,1.9913,1.9531,2.0000,2.0000
8967,1.9989,1.9989,2.0000,2.0000
9016,2.0142,1.9836,2.0000,2.0000
9116,2.0065,1.9684,2.0000,2.0000
9167,1.9989,1.9760,2.0000,2.0000
9216,1.9989,1.9913,2.0000,2.0000
9265,1.9989,1.9608,2.0000,2.0000
9316,2.0065,1.9760,2.0000,2.0000
9367,1.9989,1.9913,2.0000,2.0000
9416,2.0065,1.9760,2.0000,2.0000
9516,1.9989,1.9836,2.0000,2.0000
9616,2.0142,1.9836,2.0000,2.0000
9716,2.0142,1.9913,2.0000,2.0000
9767,1.9989,1.9913,2.0000,2.0000
9816,2.0142,1.9836,2.0000,2.0000
9916,2.0142,1.9913,2.0000,2.0000
9966,2.0142,1.9989,2.0000,2.0000
10016,2.0142,1.9989,2.0000,2.0000
10116,2.0065,1.9989,2.0000,2.0000
10167,2.0142,2.0142,2.0000,2.0000
10216,2.0294,2.0142,2.0000,2.0000
10266,2.0142,2.0065,2.0000,2.0000
10316,2.0065,1.9913,2.0000,2.0000
10366,2.0065,2.0065,2.0000,2.0000
10416,2.0065,2.0142,2.0000,2.0000
10467,2.0218,2.0142,2.0000,2.0000
10516,2.0142,2.0142,2.0000,2.0000
10616,2.0142,2.0065,2.0000,2.0000
10716,2.0218,2.0142,2.0000,2.0000
10767,2.0142,2.0142,2.0000,2.0000
10816,2.0065,1.9913,2.0000,2.0000
10867,2.0218,2.0065,2.0000,2.0000
10916,1.9913,2.0142,2.0000,2.0000
11016,2.0142,2.0142,2.0000,2.0000
11067,2.0065,2.0065,2.0000,2.0000
11116,2.0065,1.9989,2.0000,2.0000
11216,1.9989,2.0142,2.0000,2.0000
11316,2.0142,2.0065,2.0000,2.0000
11416,1.9989,2.0142,2.0000,2.0000
11516,2.0065,2.0142,2.0000,2.0000
11616,2.0142,1.9989,2.0000,2.0000
11667,2.0065,2.0218,2.0000,2.0000
11716,2.0065,2.0142,2.0000,2.0000
11816,2.0142,2.0065,2.0000,2.0000
11916,2.0142,2.0065,2.0000,2.0000
12016,2.0142,2.0142,2.0000,2.0000
12116,2.0142,1.9989,2.0000,2.0000
12167,1.9989,2.0142,2.0000,2.0000
12216,2.0142,2.0142,2.0000,2.0000
12316,2.0142,2.0065,2.0000,2.0000
12367,2.0065,2.0142,2.0000,2.0000
12416,1.9989,2.0065,2.0000,2.0000
12516,2.0142,2.0142,2.0000,2.0000
12565,2.0218,1.9989,2.0000,2.0000
12616,2.0294,1.9989,2.0000,2.0000
12667,1.9913,2.0142,2.0000,2.0000
12716,2.0142,2.0142,2.0000,2.0000
12767,2.0065,2.0142,2.0000,2.0000
12816,1.9989,1.9989,2.0000,2.0000
12867,2.0142,2.0065,2.0000,2.0000
12915,1.9989,2.0065,2.0000,2.0000
13016,2.0065,2.0142,2.0000,2.0000
13116,2.0218,1.9989,2.0000,2.0000
13216,2.0142,2.0142,2.0000,2.0000
13316,2.0065,2.0065,2.0000,2.0000
13365,2.0065,2.0065,2.0000,2.0000
13416,1.9989,2.0142,2.0000,2.0000
13465,2.0065,2.0142,2.0000,2.0000
13516,2.0218,2.0142,2.0000,2.0000
13616,1.9379,1.9226,-2.0000,-2.0000
13716,1.7624,1.7853,-2.0000,-2.0000
13765,1.7014,1.6861,-2.0000,-2.0000
13816,1.6098,1.6403,-2.0000,-2.0000
13867,1.5411,1.5411,-2.0000,-2.0000
13916,1.4420,1.4572,-2.0000,-2.0000
13967,1.3886,1.3886,-2.0000,-2.0000
14016,1.3123,1.3046,-2.0000,-2.0000
14116,1.1673,1.1597,-2.0000,-2.0000
14216,0.9995,1.0223,-2.0000,-2.0000
14267,0.9308,0.9384,-2.0000,-2.0000
14316,0.8545,0.8545,-2.0000,-2.0000
14416,0.7095,0.7248,-2.0000,-2.0000
14516,0.5569,0.5417,-2.0000,-2.0000
14616,0.3662,0.4044,-2.0000,-2.0000
14716,0.2975,0.2518,-2.0000,-2.0000
14816,0.1144,0.1450,-2.0000,-2.0000
14866,0.0458,0.0381,-2.0000,-2.0000
14916,-0.0229,-0.0305,-2.0000,-2.0000
15016,-0.1221,-0.0992,-2.0000,-2.0000
15066,-0.1984,-0.1755,-2.0000,-2.0000
15116,-0.2166,-0.2747,-2.0000,-2.0000
15216,-0.4578,-0.4578,-2.0000,-2.0000
15267,-0.5341,-0.4959,-2.0000,-2.0000
