timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
52,0.0000,0.0000,0.0000,0.0000
103,0.0000,0.0000,0.0000,0.0000
152,0.0000,0.0000,0.0000,0.0000
252,0.0000,0.0000,0.0000,0.0000
303,0.0000,0.0000,0.0000,0.0000
352,0.0000,0.0000,0.0000,0.0000
402,0.0000,0.0000,0.0000,0.0000
452,0.0000,0.0000,0.0000,0.0000
552,0.0000,0.0000,0.0000,0.0000
652,0.0000,0.0000,0.0000,0.0000
702,0.0076,0.0000,0.0000,0.0000
752,0.0000,0.0000,0.0000,0.0000
802,0.0000,0.0000,0.0000,0.0000
852,0.0000,0.0000,0.0000,0.0000
952,0.0000,0.0000,0.0000,0.0000
1001,0.0000,0.0000,0.0000,0.0000
1052,0.0000,0.0000,0.0000,0.0000
1152,0.0076,0.0000,0.0000,0.0000
1203,0.0229,0.0000,0.0000,0.0000
1252,0.0000,0.0000,0.0000,0.0000
1352,0.0000,0.0000,0.0000,0.0000
1452,0.0000,0.0000,0.0000,0.0000
1552,0.0000,0.0000,0.0000,0.0000
1601,0.0000,0.0000,0.0000,0.0000
1652,-0.0153,0.0000,0.0000,0.0000
1752,-0.0076,0.0000,0.0000,0.0000
1802,0.0000,0.0000,0.0000,0.0000
1852,-0.0153,0.0000,0.0000,0.0000
1952,0.0000,0.0000,0.0000,0.0000
2052,0.0153,0.0000,0.0000,0.0000
2102,0.0000,0.0000,0.0000,0.0000
2152,0.0000,0.0000,0.0000,0.0000
2252,0.0000,0.0000,0.0000,0.0000
2302,0.0000,0.0000,0.0000,0.0000
2352,0.0000,0.0000,0.0000,0.0000
2402,0.0000,0.0000,0.0000,0.0000
2452,-0.0229,0.0000,0.0000,0.0000
2552,0.0000,0.0000,0.0000,0.0000
2652,0.0076,0.0000,0.0000,0.0000
2702,0.0000,0.0000,0.0000,0.0000
2752,0.0000,0.0000,0.0000,0.0000
2802,0.0000,0.0000,0.0000,0.0000
2852,0.0000,0.0000,0.0000,0.0000
2901,0.0000,0.0000,0.0000,0.0000
2952,0.0000,0.0000,0.0000,0.0000
3002,0.0229,0.0000,0.0000,0.0000
3052,0.0000,0.0000,0.0000,0.0000
3152,0.0000,0.0000,0.0000,0.0000
3252,0.0000,0.0000,0.0000,0.0000
3302,0.0000,0.0000,0.0000,0.0000
3352,0.0000,0.0000,0.0000,0.0000
3402,0.0000,0.0000,0.0000,0.0000
3452,0.0000,0.0000,0.0000,0.0000
3552,0.0000,0.0000,0.0000,0.0000
3602,0.0000,0.0000,0.0000,0.0000
3652,0.0000,0.0000,0.0000,0.0000
3752,0.0000,0.0000,0.0000,0.0000
3852,0.0000,0.0000,0.0000,0.0000
3902,0.0000,0.0000,0.0000,0.0000
3952,0.0000,0.0000,0.0000,0.0000
4051,0.0000,0.0000,0.0000,0.0000
4151,0.0000,0.0000,0.0000,0.0000
4251,0.0000,0.0000,0.0000,0.0000
4301,0.0000,0.0000,0.0000,0.0000
4351,0.0000,0.0000,0.0000,0.0000
4451,0.0000,0.0000,0.0000,0.0000
4501,0.0000,0.0000,0.0000,0.0000
4551,0.0000,0.0000,0.0000,0.0000
4602,0.0000,0.0000,0.0000,0.0000
4651,0.0000,0.0000,0.0000,0.0000
4702,0.0000,0.0000,0.0000,0.0000
4751,0.0000,0.0000,0.0000,0.0000
4851,-0.0153,0.0000,0.0000,0.0000
4951,0.0000,0.0000,0.0000,0.0000
5051,0.0076,0.0000,0.0000,0.0000
5102,0.0000,0.0000,0.0000,0.0000
5151,0.0153,0.0000,0.0000,0.0000
5251,0.0000,0.0000,0.0000,0.0000
5351,0.0000,0.0000,0.0000,0.0000
