timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
97,0.0000,0.0000,0.0000,0.0000
197,0.0000,0.0000,0.0000,0.0000
297,0.0000,0.0000,0.0000,0.0000
397,0.0000,0.0000,0.0000,0.0000
497,0.0000,0.0000,0.0000,0.0000
597,0.0000,0.0000,0.0000,0.0000
647,0.0229,0.0000,0.0000,0.0000
697,0.0000,0.0000,0.0000,0.0000
746,0.0000,0.0000,0.0000,0.0000
797,0.0229,0.0000,0.0000,0.0000
847,0.0000,0.0000,0.0000,0.0000
897,0.0000,0.0000,0.0000,0.0000
946,0.0000,0.0000,0.0000,0.0000
997,0.0000,0.0000,0.0000,0.0000
1097,0.0000,0.0000,0.0000,0.0000
1197,0.0000,0.0229,0.0000,0.0000
1297,0.0000,0.0000,0.0000,0.0000
1347,0.0229,0.0000,0.0000,0.0000
1397,0.0000,0.0000,0.0000,0.0000
1447,0.0000,0.0000,0.0000,0.0000
1497,0.0000,0.0000,0.0000,0.0000
1597,0.0000,0.0000,0.0000,0.0000
1697,0.0076,0.0000,0.0000,0.0000
1797,0.0000,0.0000,0.0000,0.0000
1897,0.0000,0.0000,0.0000,0.0000
1996,0.0000,0.0000,0.0000,0.0000
2096,0.0076,0.0000,0.0000,0.0000
2147,0.0000,0.0000,0.0000,0.0000
2197,0.0000,0.0000,0.0000,0.0000
2247,0.0000,0.0000,0.0000,0.0000
2297,0.0076,0.0000,0.0000,0.0000
2347,0.0000,0.0000,0.0000,0.0000
2397,0.0000,0.0000,0.0000,0.0000
2497,-0.0076,0.0000,0.0000,0.0000
2546,0.0229,0.0229,0.0000,0.0000
2596,0.0229,0.0000,0.0000,0.0000
2646,0.0000,0.0000,0.0000,0.0000
2697,0.0000,0.0000,0.0000,0.0000
2797,0.0000,0.0000,0.0000,0.0000
2847,0.0000,0.0000,0.0000,0.0000
2897,0.0000,0.0000,0.0000,0.0000
2997,0.0000,0.0000,0.0000,0.0000
3096,0.0000,0.0000,0.0000,0.0000
3196,0.0076,0.0000,0.0000,0.0000
3296,0.0000,0.0000,0.0000,0.0000
3396,0.0000,0.0000,0.0000,0.0000
3497,0.0000,0.0000,0.0000,0.0000
3547,0.0000,0.0000,0.0000,0.0000
3597,0.0000,0.0000,0.0000,0.0000
3647,0.0000,0.0000,0.0000,0.0000
3697,0.0000,0.0000,0.0000,0.0000
3797,0.0000,0.0000,0.0000,0.0000
3897,0.0000,0.0000,0.0000,0.0000
3946,0.0000,0.0000,0.0000,0.0000
3996,-0.0229,0.0000,0.0000,0.0000
4097,-0.0076,0.0000,0.0000,0.0000
4197,0.0000,0.0000,0.0000,0.0000
4297,0.0000,0.0000,0.0000,0.0000
4397,0.0000,0.0000,0.0000,0.0000
4496,0.0000,0.0000,0.0000,0.0000
4596,0.0000,0.0000,0.0000,0.0000
4647,0.0000,0.0000,0.0000,0.0000
4696,0.0000,0.0000,0.0000,0.0000
4797,0.0000,0.0153,0.0000,0.0000
4847,0.0000,0.0000,0.0000,0.0000
4896,0.0000,0.0000,0.0000,0.0000
4996,0.0076,0.0000,0.0000,0.0000
5096,0.0000,0.0000,0.0000,0.0000
5196,0.0000,0.0000,0.0000,0.0000
5247,0.0000,0.0000,0.0000,0.0000
5296,0.0000,0.0000,0.0000,0.0000
5347,0.0000,0.0000,0.0000,0.0000
5397,0.0000,0.0000,0.0000,0.0000
5496,0.0000,0.0000,0.0000,0.0000
5596,0.0076,-0.0229,0.0000,0.0000
5647,0.0000,0.0000,0.0000,0.0000
5696,0.0000,0.0000,0.0000,0.0000
5747,0.0000,0.0000,0.0000,0.0000
5796,0.0000,0.0000,0.0000,0.0000
5896,0.0000,0.0000,0.0000,0.0000
5996,-0.0076,0.0000,0.0000,0.0000
6047,0.0076,0.0000,0.0000,0.0000
6096,0.0000,0.0000,0.0000,0.0000
6196,0.0000,0.0000,0.0000,0.0000
6246,-0.0076,0.0000,0.0000,0.0000
6297,-0.0229,0.0000,0.0000,0.0000
6396,0.0000,0.0000,0.0000,0.0000
6447,0.0229,0.0000,0.0000,0.0000
6496,-0.0076,0.0000,0.0000,0.0000
6596,0.0076,0.0000,0.0000,0.0000
6696,0.0076,0.0000,0.0000,0.0000
6797,0.0000,0.0000,0.0000,0.0000
6896,0.0000,0.0000,0.0000,0.0000
6947,0.0000,0.0000,0.0000,0.0000
6996,0.0076,0.0000,0.0000,0.0000
7096,0.0000,0.0000,0.0000,0.0000
7196,0.0000,0.0000,0.0000,0.0000
7296,0.0000,0.0000,0.0000,0.0000
7396,0.0000,0.0000,0.0000,0.0000
7496,0.0000,0.0000,0.0000,0.0000
7547,0.0076,0.0000,0.0000,0.0000
7597,0.0000,0.0000,0.0000,0.0000
7696,0.0000,0.0000,0.0000,0.0000
7747,0.0000,0.0000,0.0000,0.0000
7796,0.0000,0.0000,0.0000,0.0000
7896,0.0000,0.0000,0.0000,0.0000
7945,0.0000,0.0000,0.0000,0.0000
7996,0.0000,0.0000,0.0000,0.0000
8096,0.0000,0.0000,0.0000,0.0000
8196,0.0000,0.0000,0.0000,0.0000
8247,0.0000,0.0000,0.0000,0.0000
8296,-0.0229,0.0000,0.0000,0.0000
8396,0.0000,0.0000,0.0000,0.0000
8496,0.0000,0.0000,0.0000,0.0000
8596,0.0000,0.0000,0.0000,0.0000
8647,-0.0229,0.0000,0.0000,0.0000
8696,0.0229,0.0000,0.0000,0.0000
8796,0.0000,0.0000,0.0000,0.0000
8896,0.0229,0.0000,0.0000,0.0000
8996,0.0000,0.0000,0.0000,0.0000
9096,-0.0229,0.0000,0.0000,0.0000
9147,0.0000,0.0000,0.0000,0.0000
9196,0.0000,0.0000,0.0000,0.0000
9296,0.0000,0.0000,0.0000,0.0000
9396,0.0000,0.0000,0.0000,0.0000
