timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
90,-0.0229,-0.0153,0.0000,0.0000
190,0.0000,0.0000,0.0000,0.0000
241,0.0000,0.0000,0.0000,0.0000
290,0.0000,0.0000,0.0000,0.0000
390,0.0000,0.0000,0.0000,0.0000
441,0.0000,0.0076,0.0000,0.0000
490,0.0000,0.0000,0.0000,0.0000
540,0.0000,0.0000,0.0000,0.0000
590,0.0000,0.0000,0.0000,0.0000
690,-0.0229,0.0000,0.0000,0.0000
739,0.0000,0.0000,0.0000,0.0000
790,0.0076,0.0000,0.0000,0.0000
890,0.0229,0.0076,0.0000,0.0000
941,0.0000,0.0000,0.0000,0.0000
990,-0.0153,0.0000,0.0000,0.0000
1090,0.0000,0.0000,0.0000,0.0000
1190,0.0000,0.0000,0.0000,0.0000
1290,0.0000,0.0000,0.0000,0.0000
1341,0.0000,0.0000,0.0000,0.0000
1390,0.0000,0.0000,0.0000,0.0000
1490,0.0000,0.0000,0.0000,0.0000
1590,0.0000,0.0000,0.0000,0.0000
1690,0.0000,0.0000,0.0000,0.0000
1740,0.0000,0.0000,0.0000,0.0000
1790,0.0000,0.0000,0.0000,0.0000
1890,-0.0076,0.0000,0.0000,0.0000
1990,0.0000,0.0000,0.0000,0.0000
2090,0.0000,0.0000,0.0000,0.0000
2141,0.0000,0.0000,0.0000,0.0000
2190,0.0000,0.0000,0.0000,0.0000
2290,0.0000,0.0000,0.0000,0.0000
2390,0.0000,0.0000,0.0000,0.0000
2490,0.0000,0.0000,0.0000,0.0000
2590,0.0000,0.0000,0.0000,0.0000
2690,0.0000,0.0000,0.0000,0.0000
2740,-0.0076,0.0000,0.0000,0.0000
2790,0.0000,0.0000,0.0000,0.0000
2890,0.0000,0.0000,0.0000,0.0000
2990,0.0000,0.0000,0.0000,0.0000
3090,0.0000,0.0000,0.0000,0.0000
3190,0.0000,0.0000,0.0000,0.0000
3240,0.0000,0.0000,0.0000,0.0000
3290,0.0000,0.0000,0.0000,0.0000
3390,0.0000,0.0000,0.0000,0.0000
3490,0.0000,0.0000,0.0000,0.0000
3540,0.0000,0.0000,0.0000,0.0000
3590,0.0000,0.0000,0.0000,0.0000
3640,-0.0153,0.0000,0.0000,0.0000
3690,0.0000,0.0000,0.0000,0.0000
3740,0.0000,0.0000,0.0000,0.0000
3790,-0.0229,0.0000,0.0000,0.0000
3890,0.0000,0.0000,0.0000,0.0000
3939,0.0229,0.0000,0.0000,0.0000
3990,0.0000,0.0000,0.0000,0.0000
4090,0.0000,0.0000,0.0000,0.0000
4190,0.0000,0.0000,0.0000,0.0000
4290,0.0000,0.0000,0.0000,0.0000
4339,0.0000,0.0000,0.0000,0.0000
4390,0.0000,0.0000,0.0000,0.0000
4440,0.0000,0.0000,0.0000,0.0000
4489,-0.0076,0.0000,0.0000,0.0000
4539,0.0229,0.0000,0.0000,0.0000
4589,0.0000,0.0000,0.0000,0.0000
4690,0.0229,0.0000,0.0000,0.0000
4790,0.0000,0.0000,0.0000,0.0000
4889,0.0000,0.0000,0.0000,0.0000
4940,-0.0153,0.0000,0.0000,0.0000
4990,0.0153,0.0000,0.0000,0.0000
5040,0.0000,0.0000,0.0000,0.0000
5089,0.0000,0.0000,0.0000,0.0000
5189,0.0000,0.0000,0.0000,0.0000
5289,0.0000,0.0000,0.0000,0.0000
5340,0.0000,0.0000,0.0000,0.0000
5389,0.0000,0.0000,0.0000,0.0000
5489,0.0000,0.0000,0.0000,0.0000
5539,0.0000,0.0000,0.0000,0.0000
5589,0.0229,0.0000,0.0000,0.0000
5639,0.0000,0.0000,0.0000,0.0000
5689,0.0000,0.0000,0.0000,0.0000
5789,0.0000,0.0000,0.0000,0.0000
5840,0.0153,0.0000,0.0000,0.0000
5889,-0.0153,0.0000,0.0000,0.0000
5939,0.0000,0.0000,0.0000,0.0000
5989,0.0000,0.0000,0.0000,0.0000
6089,0.0000,0.0000,0.0000,0.0000
6189,0.0000,0.0000,0.0000,0.0000
6239,0.0000,0.0000,0.0000,0.0000
6289,0.0000,0.0000,0.0000,0.0000
6389,0.0000,0.0000,0.0000,0.0000
6489,0.0076,0.0000,0.0000,0.0000
6589,0.0000,0.0000,0.0000,0.0000
6640,0.0000,0.0000,0.0000,0.0000
6689,0.0000,0.0000,0.0000,0.0000
6740,0.0000,0.0000,0.0000,0.0000
6789,0.0000,0.0000,0.0000,0.0000
6839,0.0000,0.0000,0.0000,0.0000
6889,0.0000,-0.0229,0.0000,0.0000
6989,0.0000,0.0000,0.0000,0.0000
7040,-0.0076,0.0000,0.0000,0.0000
