timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
28,0.0000,0.0000,0.0000,0.0000
77,-0.0076,0.0000,0.0000,0.0000
127,0.0000,0.0000,0.0000,0.0000
178,0.0000,0.0000,0.0000,0.0000
227,0.0000,0.0000,0.0000,0.0000
278,0.0000,0.0000,0.0000,0.0000
326,0.0000,0.0000,0.0000,0.0000
378,-0.0153,0.0000,0.0000,0.0000
427,-0.0229,0.0000,0.0000,0.0000
526,0.0000,0.0000,0.0000,0.0000
578,0.0000,0.0000,0.0000,0.0000
627,0.0000,0.0000,0.0000,0.0000
678,0.0076,0.0000,0.0000,0.0000
727,0.0000,0.0000,0.0000,0.0000
778,0.0000,0.0000,0.0000,0.0000
827,0.0000,0.0000,0.0000,0.0000
878,0.0000,0.0000,0.0000,0.0000
927,0.0000,0.0000,0.0000,0.0000
1027,0.0000,0.0000,0.0000,0.0000
1127,0.0000,0.0000,0.0000,0.0000
1178,0.0000,0.0000,0.0000,0.0000
1226,0.0000,0.0000,0.0000,0.0000
1276,0.0000,0.0000,0.0000,0.0000
1327,0.0000,0.0000,0.0000,0.0000
1376,0.0000,0.0000,0.0000,0.0000
1426,0.0000,0.0000,0.0000,0.0000
1478,0.0000,0.0000,0.0000,0.0000
1527,0.0000,0.0000,0.0000,0.0000
1576,0.0000,0.0000,0.0000,0.0000
1627,0.0000,0.0000,0.0000,0.0000
1677,0.0000,0.0000,0.0000,0.0000
1727,0.0000,0.0000,0.0000,0.0000
1778,0.0000,0.0000,0.0000,0.0000
1827,0.0000,0.0000,0.0000,0.0000
1927,0.0229,0.0000,0.0000,0.0000
2026,0.0076,0.0000,0.0000,0.0000
2077,0.0000,0.0000,0.0000,0.0000
2128,0.0076,0.0000,0.0000,0.0000
2176,0.0000,0.0000,0.0000,0.0000
2227,0.0076,0.0000,0.0000,0.0000
2328,0.0000,0.0000,0.0000,0.0000
2427,0.0000,0.0000,0.0000,0.0000
2527,0.0000,0.0000,0.0000,0.0000
2628,0.0000,0.0000,0.0000,0.0000
2678,0.0000,0.0000,0.0000,0.0000
2727,-0.0076,0.0000,0.0000,0.0000
2776,0.0000,0.0000,0.0000,0.0000
2827,0.0000,0.0000,0.0000,0.0000
2927,0.0000,0.0000,0.0000,0.0000
3027,0.0000,0.0000,0.0000,0.0000
3078,0.0000,0.0000,0.0000,0.0000
3127,0.0000,0.0000,0.0000,0.0000
3178,0.0000,0.0000,0.0000,0.0000
3227,0.0000,0.0000,0.0000,0.0000
3328,0.0000,0.0000,0.0000,0.0000
3378,0.0000,0.0000,0.0000,0.0000
3427,0.0000,0.0000,0.0000,0.0000
