timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
27,0.0000,0.0000,0.0000,0.0000
76,0.0000,0.0000,0.0000,0.0000
127,0.0000,0.0000,0.0000,0.0000
227,0.0000,0.0000,0.0000,0.0000
277,0.0000,0.0000,0.0000,0.0000
327,0.0000,0.0000,0.0000,0.0000
427,0.0000,0.0000,0.0000,0.0000
527,0.0000,0.0000,0.0000,0.0000
627,0.0153,0.0000,0.0000,0.0000
677,0.0000,0.0000,0.0000,0.0000
727,0.0000,0.0000,0.0000,0.0000
827,0.0000,0.0000,0.0000,0.0000
927,0.0000,0.0000,0.0000,0.0000
1027,0.0000,0.0000,0.0000,0.0000
1077,0.0000,0.0000,0.0000,0.0000
1127,0.0000,0.0000,0.0000,0.0000
1227,0.0229,0.0000,0.0000,0.0000
1327,0.0000,0.0000,0.0000,0.0000
1427,0.0000,0.0000,0.0000,0.0000
1527,0.0000,0.0000,0.0000,0.0000
1627,0.0000,0.0000,0.0000,0.0000
1677,0.0000,0.0000,0.0000,0.0000
1727,0.0000,0.0000,0.0000,0.0000
1827,0.0076,0.0000,0.0000,0.0000
1877,0.0000,0.0000,0.0000,0.0000
1927,0.0000,0.0000,0.0000,0.0000
2027,-0.0229,0.0000,0.0000,0.0000
2127,0.0000,0.0000,0.0000,0.0000
2227,0.0000,0.0000,0.0000,0.0000
2277,0.0000,0.0000,0.0000,0.0000
2326,0.0000,0.0000,0.0000,0.0000
2427,0.0000,0.0000,0.0000,0.0000
2477,0.0000,0.0000,0.0000,0.0000
2527,0.0000,0.0000,0.0000,0.0000
2627,0.0000,0.0000,0.0000,0.0000
2726,0.0000,0.0000,0.0000,0.0000
2827,0.0000,0.0000,0.0000,0.0000
2926,0.0000,0.0000,0.0000,0.0000
