timestamp_ms,left_encoder_rps,right_encoder_rps,left_cmd_rps,right_cmd_rps
38,1.2589,-2.0142,0.0000,0.0000
138,1.1749,-1.9073,0.0000,0.0000
238,0.9995,-1.7319,0.0000,0.0000
338,0.8469,-1.5869,0.0000,0.0000
438,0.6866,-1.4267,0.0000,0.0000
538,0.5417,-1.2894,0.0000,0.0000
587,0.4807,-1.2054,0.0000,0.0000
638,0.3891,-1.1215,0.0000,0.0000
687,0.3204,-1.0452,0.0000,0.0000
738,0.2441,-1.0071,0.0000,0.0000
789,0.1678,-0.9079,0.0000,0.0000
838,0.0992,-0.8240,0.0000,0.0000
887,0.0610,-0.7706,0.0000,0.0000
938,0.0534,-0.6790,0.0000,0.0000
1038,0.0229,-0.5341,0.0000,0.0000
1138,0.0076,-0.3891,0.0000,0.0000
1238,0.0000,-0.2365,0.0000,0.0000
1338,-0.0153,-0.2166,0.0000,0.0000
1438,0.0000,-0.1831,0.0000,0.0000
1489,0.0076,-0.1221,0.0000,0.0000
1538,0.0229,-0.1602,0.0000,0.0000
1589,0.0153,-0.1297,0.0000,0.0000
1638,0.0153,-0.1297,0.0000,0.0000
1689,0.0305,-0.1144,0.0000,0.0000
1738,0.0381,-0.0839,0.0000,0.0000
1838,0.0229,-0.0992,0.0000,0.0000
1938,0.0153,-0.0763,0.0000,0.0000
2038,0.0000,-0.0610,0.0000,0.0000
2089,0.0000,-0.0458,0.0000,0.0000
2138,0.0000,-0.0381,0.0000,0.0000
2238,0.0000,-0.0076,0.0000,0.0000
2338,0.0000,-0.0153,0.0000,0.0000
2438,0.0000,-0.0076,0.0000,0.0000
2538,0.0000,0.0000,0.0000,0.0000
2637,0.0153,-0.0076,0.0000,0.0000
2738,0.0000,0.0000,0.0000,0.0000
2838,0.0076,-0.0076,0.0000,0.0000
2938,0.0000,-0.0076,0.0000,0.0000
3038,0.0000,-0.0153,0.0000,0.0000
3137,0.0000,-0.0229,0.0000,0.0000
3237,0.0000,-0.0153,0.0000,0.0000
3338,0.0000,-0.0076,0.0000,0.0000
3438,0.0000,-0.0076,0.0000,0.0000
3489,0.0000,-0.0076,0.0000,0.0000
3538,0.0000,-0.0153,0.0000,0.0000
3638,0.0000,-0.0076,0.0000,0.0000
3738,0.0000,0.0000,0.0000,0.0000
3838,0.0000,0.0000,0.0000,0.0000
3938,0.0000,-0.0076,0.0000,0.0000
4038,0.0000,-0.0076,0.0000,0.0000
4089,0.0229,-0.0076,0.0000,0.0000
4138,0.0000,0.0000,0.0000,0.0000
4187,0.0000,-0.0076,0.0000,0.0000
4238,0.0000,0.0000,0.0000,0.0000
4289,0.0000,0.0000,0.0000,0.0000
4338,0.0000,0.0000,0.0000,0.0000
4438,0.0000,0.0229,0.0000,0.0000
4487,0.0000,0.0000,0.0000,0.0000
4538,0.0000,0.0000,0.0000,0.0000
4638,0.0000,0.0000,0.0000,0.0000
4738,0.0000,0.0000,0.0000,0.0000
4838,0.0000,0.0000,0.0000,0.0000
4887,0.0000,0.0000,0.0000,0.0000
4938,0.0000,0.0000,0.0000,0.0000
4987,0.0000,0.0000,0.0000,0.0000
5038,0.0000,0.0000,0.0000,0.0000
5138,0.0000,0.0000,0.0000,0.0000
5187,0.0000,0.0000,0.0000,0.0000
5238,0.0000,0.0000,0.0000,0.0000
5337,0.0000,0.0000,0.0000,0.0000
5438,0.0000,0.0000,0.0000,0.0000
5489,0.0000,0.0000,0.0000,0.0000
5537,0.0000,0.0000,0.0000,0.0000
5587,0.0000,0.0000,0.0000,0.0000
5638,0.0000,0.0000,0.0000,0.0000
5738,0.0076,0.0000,0.0000,0.0000
5838,0.0000,0.0000,0.0000,0.0000
5937,0.0076,0.0000,0.0000,0.0000
6038,0.0000,0.0000,0.0000,0.0000
6089,0.0000,0.0000,0.0000,0.0000
6138,0.0000,0.0000,0.0000,0.0000
6238,0.0000,0.0000,0.0000,0.0000
6286,0.0153,0.0000,0.0000,0.0000
6338,0.0000,0.0000,0.0000,0.0000
6389,0.0229,0.0000,0.0000,0.0000
6438,0.0000,0.0000,0.0000,0.0000
6486,0.0000,0.0000,0.0000,0.0000
6537,0.0000,0.0000,0.0000,0.0000
6587,0.0000,0.0000,0.0000,0.0000
6638,0.0000,0.0000,0.0000,0.0000
6737,0.0000,0.0000,0.0000,0.0000
6787,0.0000,0.0000,0.0000,0.0000
6838,0.0000,0.0000,0.0000,0.0000
6937,0.0000,0.0000,0.0000,0.0000
7038,0.0000,0.0229,0.0000,0.0000
7138,0.0000,0.0000,0.0000,0.0000
7238,0.0000,0.0229,0.0000,0.0000
7337,0.0000,0.0000,0.0000,0.0000
7389,0.0000,0.0000,0.0000,0.0000
7438,0.0000,0.0000,0.0000,0.0000
